level,key,delivered_orders,late_orders,late_rate_pct,avg_delivery_days,avg_days_late_when_late
month,2018-03,7003,1328,18.96,16.2,10.0
month,2018-02,6555,926,14.13,16.9,12.6
month,2017-11,7288,904,12.40,15.1,11.2
month,2017-12,5513,411,7.46,15.3,9.7
month,2017-04,2303,151,6.56,15.0,12.3
month,2018-05,6749,443,6.56,11.3,7.1
month,2018-08,6351,393,6.19,7.7,4.4
month,2018-01,7069,403,5.70,14.0,11.9
month,2017-03,2546,116,4.56,13.0,25.4
month,2018-04,6798,306,4.50,11.4,10.4
month,2017-09,4150,182,4.39,11.7,9.4
month,2017-10,4478,187,4.18,11.7,9.2
month,2018-07,6156,208,3.38,8.9,8.4
month,2017-06,3135,95,3.03,12.0,14.3
month,2017-05,3545,106,2.99,11.4,12.5
month,2017-02,1653,49,2.96,13.3,20.8
month,2017-01,750,22,2.93,12.8,20.2
month,2017-08,4193,122,2.91,11.0,8.8
month,2017-07,3872,108,2.79,11.5,11.7
month,2018-06,6096,71,1.16,9.2,13.4
month,2016-10,265,2,0.75,19.6,9.5
overall,ALL,96470,6534,6.77,12.5,10.6
state,AL,397,85,21.41,24.5,9.5
state,MA,717,125,17.43,21.5,10.5
state,SE,335,51,15.22,21.5,16.2
state,PI,476,66,13.87,19.4,13.3
state,CE,1279,176,13.76,21.2,15.2
state,RR,41,5,12.20,29.3,36.4
state,BA,3256,396,12.16,19.3,12.0
state,RJ,12350,1495,12.11,15.2,13.5
state,PA,946,106,11.21,23.7,12.8
state,ES,1995,214,10.73,15.7,11.3
state,PB,517,54,10.44,20.4,10.3
state,TO,274,27,9.85,17.6,6.5
state,MS,701,68,9.70,15.5,8.3
state,PE,1593,153,9.60,18.4,12.0
state,RN,474,44,9.28,19.2,14.5
state,SC,3546,291,8.21,14.9,8.3
state,GO,1957,128,6.54,15.5,11.4
state,RS,5344,325,6.08,15.2,10.2
state,MT,886,53,5.98,18.0,10.6
state,DF,2080,118,5.67,12.9,7.4
state,MG,11354,519,4.57,11.9,8.4
state,SP,40494,1820,4.49,8.7,8.3
state,PR,4923,199,4.04,11.9,8.3
state,AC,80,3,3.75,21.0,18.7
state,AP,67,2,2.99,27.2,72.5
state,RO,243,7,2.88,19.3,5.6
state,AM,145,4,2.76,26.4,30.3
