state,delivered_orders,gmv_brl,avg_order_value_brl,freight_share_pct,avg_delivery_days,late_rate_pct,freight_burden_rank
MA,717,117009,206.14,20.8,21.5,17.4,1
RO,243,45683,234.43,19.8,19.3,2.9,2
AM,145,22156,190.24,19.7,26.4,2.8,3
SE,335,56574,209.82,19.5,21.5,15.2,4
PI,476,84721,220.96,19.5,19.4,13.9,5
TO,274,48403,219.01,19.3,17.6,9.9,6
RN,474,82106,212.48,18.5,19.2,9.3,7
PE,1593,251889,193.96,18.5,18.4,9.6,8
PB,517,112587,266.61,18.3,20.4,10.4,9
PA,946,174471,224.13,17.7,23.7,11.2,10
CE,1279,219757,208.32,17.5,21.2,13.8,11
BA,3256,493584,181.55,16.5,19.3,12.2,12
AL,397,78856,237.21,16.3,24.5,21.4,13
MT,886,152192,204.54,16.0,18.0,6.0,14
ES,1995,268643,159.23,15.4,15.7,10.7,15
RS,5344,728718,161.17,15.4,15.2,6.1,16
GO,1957,282837,170.78,15.4,15.5,6.5,17
SC,3546,507012,167.83,14.8,14.9,8.2,18
PR,4923,666064,158.79,14.8,11.9,4.0,19
MG,11354,1552482,160.20,14.6,11.9,4.6,20
RJ,12350,1759651,166.43,14.4,15.2,12.1,21
DF,2080,296498,166.41,14.3,12.9,5.7,22
MS,701,115430,191.68,14.1,15.5,9.7,23
SP,40494,5066563,142.45,12.2,8.7,4.5,24
