category_en,orders,items,gmv_brl,gmv_share_pct,aov_brl,avg_review,cancel_or_unavailable_pct,freight_share_pct,gmv_rank
health_beauty,8836,9670,1233132,9.43,140.13,4.17,0.41,12.7,1
watches_gifts,5624,5991,1166177,8.91,208.10,4.06,0.36,7.8,2
bed_bath_table,9417,11115,1023435,7.82,108.89,3.90,0.19,16.5,3
sports_leisure,7720,8641,954853,7.30,124.44,4.15,0.61,14.6,4
computers_accessories,6689,7827,888725,6.79,133.56,3.98,0.52,13.9,5
furniture_decor,6449,8334,711928,5.44,110.81,3.94,0.37,19.1,6
housewares,5884,6964,615629,4.71,105.29,4.09,0.63,18.8,7
cool_stuff,3632,3796,610204,4.66,168.75,4.18,0.44,11.8,8
auto,3897,4235,578967,4.43,149.53,4.09,0.64,13.5,9
toys,3886,4117,471286,3.60,122.25,4.19,0.80,13.9,10
garden_tools,3518,4347,470495,3.60,134.24,4.07,0.37,17.0,11
baby,2885,3065,400422,3.06,139.62,4.06,0.59,14.2,12
perfumery,3162,3419,390145,2.98,124.01,4.22,0.51,12.0,13
telephony,4199,4545,309860,2.37,74.08,3.99,0.38,18.3,14
office_furniture,1273,1691,268154,2.05,210.81,3.51,0.08,20.0,15
stationery,2311,2517,223789,1.71,97.34,4.24,0.52,17.0,16
computers,181,203,218684,1.67,1208.20,4.19,0.00,4.2,17
pet_shop,1710,1947,211696,1.62,124.09,4.21,0.23,15.5,18
musical_instruments,628,680,184316,1.41,297.28,4.20,1.27,8.8,19
small_appliances,630,679,182754,1.40,293.82,4.20,1.27,7.8,20
unknown,1451,1603,170727,1.30,118.81,3.92,0.96,13.6,21
electronics,2550,2767,155044,1.19,60.97,4.05,0.27,22.8,22
fashion_bags_accessories,1864,2031,149329,1.14,80.37,4.18,0.32,17.0,23
consoles_games,1062,1137,148003,1.13,140.42,4.11,0.75,11.4,24
construction_tools_construction,748,929,142108,1.09,190.49,4.08,0.27,12.5,25
luggage_accessories,1034,1092,138702,1.06,134.66,4.35,0.39,17.8,26
home_appliances_2,234,238,107954,0.83,467.33,4.16,1.28,8.7,27
home_construction,490,604,81408,0.62,166.48,3.94,0.20,14.3,28
home_appliances,764,771,78832,0.60,103.45,4.21,0.26,15.5,29
agro_industry_and_commerce,182,212,70566,0.54,387.73,4.09,0.00,7.4,30
furniture_living_room,422,503,67351,0.51,160.36,3.92,0.47,20.8,31
home_confort,397,434,58008,0.44,146.12,3.85,0.00,12.7,32
fixed_telephony,217,264,55315,0.42,258.48,3.75,1.38,7.5,33
air_conditioning,253,297,53324,0.41,212.44,4.00,0.79,10.9,34
audio,350,364,50571,0.39,144.90,3.82,0.29,10.1,35
kitchen_dining_laundry_garden_furniture,248,281,45532,0.35,185.09,4.02,0.81,20.2,36
books_general_interest,512,553,45302,0.35,89.71,4.50,1.37,16.4,37
construction_tools_lights,244,304,39957,0.31,164.43,4.00,0.41,15.8,38
construction_tools_safety,167,194,38773,0.30,234.99,3.95,1.20,8.8,39
industry_commerce_and_business,235,268,38499,0.29,163.82,4.09,0.00,16.5,40
food,450,510,28731,0.22,63.99,4.21,0.22,19.7,41
market_place,280,311,27796,0.21,99.63,4.05,0.36,16.1,42
costruction_tools_garden,194,238,25096,0.19,130.71,4.12,1.03,17.1,43
art,202,209,23657,0.18,117.70,4.06,0.50,13.9,44
fashion_shoes,240,262,23001,0.18,96.64,4.25,0.83,17.3,45
drinks,297,379,21530,0.16,72.74,4.12,0.34,20.2,46
signaling_and_security,140,199,21315,0.16,152.25,4.08,0.00,23.3,47
books_technical,260,267,18702,0.14,71.93,4.38,0.00,18.3,48
food_drink,227,278,14943,0.11,66.41,4.36,0.88,22.7,49
fashion_male_clothing,112,132,10452,0.08,94.17,3.74,0.89,16.5,50
fashion_underwear_beach,121,131,9306,0.07,76.91,4.02,0.00,16.6,51
christmas_supplies,128,153,8738,0.07,68.80,3.95,0.78,26.7,52
