seller_id,seller_state,delivered_orders,gmv_brl,on_time_pct,avg_review,avg_delivery_days,worst_on_time_rank_in_state,on_time_decile,gmv_share_pct
54965bbe3e4f07ae045b90b0b8541f52,PR,73,10352,69.9,3.03,26.1,1,1,0.12
beadbee30901a7f61d031b6b686095ad,SP,64,4374,76.6,3.91,14.0,1,1,0.05
a49928bcdf77c55c6d6e05e09a9b4ca5,SP,96,8647,78.1,3.03,16.8,2,1,0.10
712e6ed8aa4aa1fa65dab41fed5737e4,SC,77,39385,79.2,3.36,24.6,1,1,0.44
06a2c3af7b3aee5d69171b0e14f0ee87,MA,389,36098,81.0,3.99,17.6,1,1,0.40
ea566164622c6b439516ab18062c42cd,SP,50,10309,82.0,3.78,13.9,3,1,0.11
002100f778ceb8431b7a1020ff7ab48f,SP,50,1217,82.0,3.96,16.2,3,1,0.01
cac4c8e7b1ca6252d8f20b2fc1a2e4af,SP,74,4128,82.4,3.54,18.2,5,1,0.05
6039e27294dc75811c0d8a39069f52c0,SP,63,13501,82.5,3.73,17.9,6,1,0.15
88460e8ebdecbfecb5f9601833981930,PR,246,31320,82.9,3.42,17.8,2,1,0.35
1ca7077d890b907f89be8c954a02686a,SP,108,12475,83.3,2.38,15.5,7,1,0.14
d20b021d3efdf267a402c402a48ea64b,SP,86,3922,83.7,3.76,17.0,8,1,0.04
bbad7e518d7af88a0897397ffdca1979,SP,68,4426,83.8,3.15,13.3,9,1,0.05
0b35c634521043bf4b47e21547b99ab5,PR,50,13236,84.0,3.36,19.2,3,1,0.15
b17b679f4f5ce2e03ce6968c62648246,SP,50,3424,84.0,3.98,19.3,10,1,0.04
05f51e13da97139648b8125c31e5f51b,MG,57,13100,84.2,4.23,12.4,1,1,0.15
e5a3438891c0bfdb9394643f95273d8e,SP,216,7550,84.3,3.97,15.6,11,1,0.08
2a261b5b644fa05f4f2700eb93544f2c,SP,51,5355,84.3,3.84,14.0,11,1,0.06
cd68562d3f44870c08922d380acae552,SP,122,18120,84.4,4.00,16.2,13,1,0.20
2c9e548be18521d1c43cde1c582c6de8,SP,124,6014,84.7,4.10,13.6,14,1,0.07
6973a06f484aacf400ece213dbf3d946,SP,89,10419,85.4,3.72,14.8,15,1,0.12
11bfa66332777660bd0640ee84d47006,SP,76,3926,85.5,3.92,16.5,16,1,0.04
b561927807645834b59ef0d16ba55a24,SP,85,4502,85.9,4.34,12.5,17,1,0.05
891071be6ba827b591264c90c2ae8a63,SP,85,3763,85.9,3.95,13.7,17,1,0.04
900ba814c251a692506d7834c1218441,SP,86,28833,86.0,4.22,12.4,19,1,0.32
50c9975695009e5e6473912e83a6d1da,MG,50,3964,86.0,3.88,16.4,2,1,0.04
f7ba60f8c3f99e7ee4042fdef03b70c4,SP,218,68070,86.2,4.22,13.3,20,1,0.76
431af27f296bc6519d890aa5a05fdb11,SP,116,12975,86.2,3.78,17.2,20,1,0.14
